,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
142,banda aceh,100,ID,1559447558,69,5.56,95.32,301.815,0.38
143,sorland,100,NO,1559447558,92,67.67,12.69,279.515,5.79
144,norman wells,90,CA,1559447557,76,65.28,-126.83,283.15,1.5
145,hilo,90,US,1559447303,83,19.71,-155.08,297.15,3.6
146,tuktoyaktuk,90,CA,1559447558,80,69.44,-133.03,274.15,7.7
147,bonthe,100,SL,1559447558,82,7.53,-12.5,299.815,2.64
148,todos santos,5,MX,1559447558,69,23.45,-110.23,298.15,3.1
149,fort nelson,75,CA,1559447559,71,58.81,-122.69,287.15,2.6
150,arman,84,RU,1559447559,70,59.7,150.17,283.315,2.94
151,gushikawa,75,JP,1559447559,83,26.35,127.87,302.15,7.2
152,fortuna,0,ES,1559447559,39,38.18,-1.13,290.15,3.1
153,pinega,2,RU,1559447559,48,64.7,43.39,284.715,4.34
154,olinda,75,EC,1559447559,61,-2.03,-79.75,300.15,4.6
155,pisco,90,PE,1559447559,77,-13.71,-76.2,292.15,2.1
156,saint george,40,GR,1559447560,67,39.45,22.34,290.15,2.1
157,brazzaville,20,CD,1559447560,88,-4.27,15.27,297.15,1.5
158,mar del plata,36,AR,1559447560,77,-46.43,-67.52,279.615,4.0
159,itaituba,89,BR,1559447560,97,-4.26,-55.99,296.115,1.04
160,catemaco,69,MX,1559447560,88,18.42,-95.11,298.71,0.45
161,samana,100,EC,1559447560,98,0.12,-76.97,294.715,1.04
162,salinopolis,100,BR,1559447560,79,-0.61,-47.36,301.215,6.28
163,talnakh,90,RU,1559447561,92,69.49,88.39,272.15,6.0
164,souillac,0,FR,1559447561,63,45.6,-0.6,292.15,2.6
165,porterville,1,US,1559447561,36,36.07,-119.02,301.15,2.6
166,middleton,75,CA,1559447516,66,44.94,-65.07,286.48,1.5
167,marfino,1,RU,1559447561,82,56.07,37.56,291.48,1.0
168,bonavista,0,CA,1559447561,85,48.65,-53.11,278.15,1.34
169,woodmere,90,US,1559447562,93,41.46,-81.48,289.82,2.6
170,baneh,0,IR,1559447529,26,35.99,45.88,299.15,4.1
171,togur,45,RU,1559447562,57,58.36,82.83,284.915,1.21
172,santa rosa,39,AR,1559447419,55,-36.62,-64.29,283.715,3.66
